Player,Age,Team,Pos,3P,3PA,3P%,2P,2PA,2P%,3PA_Share,2PA_Share,3PM_Share,2PM_Share
Shaquille O'Neal,26,LAL,C,0,1,.000,510,884,.577,,,,
Karl Malone,35,UTA,PF,0,1,.000,393,796,.494,,,,
Tim Duncan,22,SAS,PF,1,7,.143,417,838,.498,,,,
Antonio McDyess,24,DEN,C,1,9,.111,414,873,.474,,,,
Kevin Garnett,22,MIN,PF,4,14,.286,410,886,.463,,,,
Hakeem Olajuwon,36,HOU,C,4,13,.308,369,712,.518,,,,
Alonzo Mourning,28,MIA,C,0,2,.000,324,632,.513,,,,
Keith Van Horn,23,BKN,PF,16,53,.302,306,699,.438,,,,
Shawn Kemp,29,CLE,PF,1,2,.500,276,573,.482,,,,
Chris Webber,25,SAC,PF,4,34,.118,374,744,.503,,,,
Antoine Walker,22,BOS,PF,65,176,.369,238,559,.426,,,,
David Robinson,33,SAS,C,0,1,.000,268,526,.510,,,,
Maurice Taylor,22,LAC,PF,1,6,.167,310,669,.463,,,,
Tom Gugliotta,29,PHX,PF,2,7,.286,275,566,.486,,,,
Rik Smits,32,IND,C,0,2,.000,310,631,.491,,,,
Gary Trent,24,DAL,PF,0,5,.000,287,597,.481,,,,
Vlade Divac,30,SAC,C,11,43,.256,251,514,.488,,,,
Charles Barkley,35,HOU,PF,4,25,.160,236,477,.495,,,,
Matt Geiger,29,PHI,C,1,5,.200,265,550,.482,,,,
Patrick Ewing,36,NYK,C,0,2,.000,247,566,.436,,,,
Rasheed Wallace,24,POR,PF,13,31,.419,229,445,.515,,,,
Elden Campbell,30,2TM,C,0,1,.000,222,464,.478,,,,
Arvydas Sabonis,34,POR,C,7,24,.292,225,454,.496,,,,
Joe Smith,23,MIN,C,0,3,.000,223,519,.430,,,,
Larry Johnson,29,NYK,PF,33,92,.359,177,366,.484,,,,
P.J. Brown,29,MIA,PF,0,0,,229,477,.480,,,,
Theo Ratliff,25,PHI,PF,0,0,,197,419,.470,,,,
Otis Thorpe,36,WAS,PF,0,2,.000,240,438,.548,,,,
Danny Fortson,22,DEN,PF,0,3,.000,191,383,.499,,,,
Brian Grant,26,POR,PF,0,0,,183,382,.479,,,,
Dikembe Mutombo,32,ATL,C,0,0,,173,338,.512,,,,
Bison Dele,29,DET,C,0,1,.000,216,430,.502,,,,
Kevin Willis,36,TOR,C,0,2,.000,187,445,.420,,,,
Vitaly Potapenko,23,2TM,C,0,1,.000,204,411,.496,,,,
Grant Long,32,ATL,PF,3,18,.167,148,341,.434,,,,
Derrick Coleman,31,CHA,PF,7,33,.212,161,373,.432,,,,
Tony Massenburg,31,MEM,PF,0,2,.000,189,386,.490,,,,
Isaac Austin,29,ORL,C,2,7,.286,183,446,.410,,,,
Vin Baker,27,OKC,PF,0,3,.000,198,434,.456,,,,
Antonio Davis,30,IND,PF,0,0,,164,348,.471,,,,
Dickey Simpkins,26,CHI,C,0,1,.000,150,323,.464,,,,
Terry Cummings,37,GSW,PF,1,1,1.000,185,423,.437,,,,
Danny Manning,32,PHX,PF,1,9,.111,186,377,.493,,,,
Horace Grant,33,ORL,PF,0,2,.000,198,454,.436,,,,
Erick Dampier,23,GSW,C,0,0,,161,414,.389,,,,
Shawn Bradley,26,DAL,C,0,4,.000,167,344,.485,,,,
Lawrence Funderburke,28,SAC,PF,1,5,.200,166,294,.565,,,,
Chucky Brown,30,CHA,PF,15,40,.375,161,333,.483,,,,
Mark Bryant,33,CHI,PF,0,1,.000,168,347,.484,,,,
Kurt Thomas,26,NYK,PF,0,1,.000,170,367,.463,,,,
Michael Olowokandi,23,LAC,C,0,0,,172,399,.431,,,,
Othella Harrington,25,HOU,PF,0,0,,156,304,.513,,,,
Dale Davis,29,IND,PF,0,0,,161,302,.533,,,,
Dirk Nowitzki,20,DAL,PF,14,68,.206,122,268,.455,,,,
Andrew DeClercq,25,2TM,C,0,0,,138,276,.500,,,,
J.R. Reid,30,2TM,PF,0,1,.000,132,276,.478,,,,
Olden Polynice,34,OKC,C,1,1,1.000,168,357,.471,,,,
Jerome Williams,25,DET,PF,0,0,,124,248,.500,,,,
Danny Ferry,32,CLE,PF,38,97,.392,103,199,.518,,,,
Charles Oakley,35,TOR,PF,1,5,.200,139,322,.432,,,,
Luc Longley,30,PHX,C,0,0,,140,290,.483,,,,
Tony Battie,22,BOS,C,0,3,.000,147,280,.525,,,,
Marcus Camby,24,NYK,C,0,0,,136,261,.521,,,,
Tyrone Hill,30,2TM,PF,0,0,,122,268,.455,,,,
Lorenzen Wright,23,LAC,C,0,1,.000,119,259,.459,,,,
Jason Caffey,25,GSW,PF,0,1,.000,123,276,.446,,,,
Michael Doleac,21,ORL,C,0,0,,125,267,.468,,,,
Chris Crawford,23,ATL,PF,11,33,.333,99,222,.446,,,,
Malik Rose,24,SAS,PF,0,1,.000,93,200,.465,,,,
Armen Gilliam,34,MIL,PF,0,1,.000,101,222,.455,,,,
Ben Wallace,24,WAS,C,0,0,,115,199,.578,,,,
Greg Ostertag,25,UTA,C,0,0,,99,208,.476,,,,
Chris Gatling,31,2TM,C,1,8,.125,116,257,.451,,,,
Bryant Reeves,25,MEM,C,0,1,.000,102,250,.408,,,,
Dean Garrett,32,MIN,C,0,0,,116,231,.502,,,,
Cherokee Parks,26,MEM,C,0,1,.000,118,274,.431,,,,
