Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Jerry Stackhouse,26,DET,SG,80,80,3215,774,1927,.402,166,473,.351,608,1454,.418,.445,666,810,.822,99,216,315,410,97,54,326,160,2380,1,MVP-14AS,stackje01
2,Allen Iverson,25,PHI,SG,71,71,2979,762,1813,.420,98,306,.320,664,1507,.441,.447,585,719,.814,50,223,273,325,178,20,237,147,2207,0,MVP-1DPOY-11ASNBA1,iversal01
3,Shaquille O'Neal,28,LAL,C,74,74,2924,813,1422,.572,0,2,.000,813,1420,.573,.572,499,972,.513,291,649,940,277,47,204,218,256,2125,0,MVP-3DPOY-8ASNBA1DEF2,onealsh01
4,Paul Pierce,23,BOS,SF,82,82,3120,687,1513,.454,147,384,.383,540,1129,.478,.503,550,738,.745,94,428,522,253,138,69,262,251,2071,0,MVP-13,piercpa01
5,Vince Carter,24,TOR,SF,75,75,2979,762,1656,.460,162,397,.408,600,1259,.477,.509,384,502,.765,176,240,416,291,114,82,167,205,2070,0,MVP-11ASNBA2,cartevi01
6,Tracy McGrady,21,ORL,SG,77,77,3087,788,1724,.457,59,166,.355,729,1558,.468,.474,430,587,.733,192,388,580,352,116,118,198,160,2065,0,MVP-6MIP-1ASNBA2,mcgratr01
7,Antawn Jamison,24,GSW,SF,82,82,3394,800,1812,.442,62,205,.302,738,1607,.459,.459,382,534,.715,280,435,715,164,114,28,199,225,2044,0,,jamisan01
8,Kobe Bryant,22,LAL,SG,68,68,2783,701,1510,.464,61,200,.305,640,1310,.489,.484,475,557,.853,104,295,399,338,114,43,220,222,1938,2,MVP-9DPOY-11ASNBA2DEF2,bryanko01
9,Chris Webber,27,SAC,PF,70,70,2836,786,1635,.481,2,28,.071,784,1607,.488,.481,324,461,.703,179,598,777,294,93,118,195,226,1898,1,MVP-4ASNBA1,webbech01
10,Antoine Walker,24,BOS,PF,81,81,3396,711,1720,.413,221,603,.367,490,1117,.439,.478,249,348,.716,151,568,719,445,138,49,301,251,1892,5,,walkean02
