Year,TeamAbv,TeamName,3P,3PA,3P%,2P,2PA,2P%,TOTAL_3P,TOTAL_3PA,TOTAL_2P,TOTAL_2PA
2000,ATL,Atlanta Hawks,2.000,8.333,0.091,259.000,575.667,0.454,6.000,25.000,777.000,1727.000
2000,BKN,Brooklyn Nets,0.286,2.429,0.114,113.857,256.714,0.396,2.000,17.000,797.000,1797.000
2000,BOS,Boston Celtics,40.000,110.500,0.176,164.167,355.833,0.458,240.000,663.000,985.000,2135.000
2000,CHA,Charlotte Hornets,4.000,12.600,0.098,174.800,397.800,0.434,20.000,63.000,874.000,1989.000
2000,CHI,Chicago Bulls,1.500,6.250,0.158,140.750,311.750,0.413,12.000,50.000,1126.000,2494.000
2000,CLE,Cleveland Cavaliers,4.000,13.857,0.076,157.143,326.571,0.472,28.000,97.000,1100.000,2286.000
2000,DAL,Dallas Mavericks,21.857,57.429,0.177,113.714,226.571,0.488,153.000,402.000,796.000,1586.000
2000,DEN,Denver Nuggets,12.750,34.750,0.367,233.500,470.250,0.493,51.000,139.000,934.000,1881.000
2000,DET,Detroit Pistons,0.800,7.000,0.080,149.800,339.600,0.436,4.000,35.000,749.000,1698.000
2000,GSW,Golden State Warriors,1.000,4.667,0.183,101.167,231.000,0.401,6.000,28.000,607.000,1386.000
2000,HOU,Houston Rockets,18.500,51.333,0.135,112.167,220.333,0.517,111.000,308.000,673.000,1322.000
2000,IND,Indiana Pacers,12.667,39.667,0.184,124.667,272.778,0.470,114.000,357.000,1122.000,2455.000
2000,LAC,Los Angeles Clippers,13.500,42.667,0.272,164.667,363.333,0.396,81.000,256.000,988.000,2180.000
2000,LAL,Los Angeles Lakers,9.833,28.667,0.447,214.500,411.667,0.470,59.000,172.000,1287.000,2470.000
2000,MEM,Memphis Grizzlies,2.200,9.400,0.192,144.800,326.400,0.439,11.000,47.000,724.000,1632.000
2000,MIA,Miami Heat,0.000,1.333,0.000,200.500,423.500,0.433,0.000,8.000,1203.000,2541.000
2000,MIL,Milwaukee Bucks,18.833,48.000,0.290,124.167,262.167,0.462,113.000,288.000,745.000,1573.000
2000,MIN,Minnesota Timberwolves,4.333,14.833,0.202,215.167,448.000,0.452,26.000,89.000,1291.000,2688.000
2000,NYK,New York Knicks,8.833,29.167,0.193,141.833,290.667,0.436,53.000,175.000,851.000,1744.000
2000,OKC,Oklahoma City Thunder,17.714,43.571,0.124,160.857,353.571,0.426,124.000,305.000,1126.000,2475.000
2000,ORL,Orlando Magic,0.200,2.400,0.167,174.200,362.600,0.512,1.000,12.000,871.000,1813.000
2000,PHI,Philadelphia 76ers,0.000,0.750,0.000,175.750,362.500,0.489,0.000,3.000,703.000,1450.000
2000,PHX,Phoenix Suns,18.600,52.200,0.305,150.200,345.400,0.436,93.000,261.000,751.000,1727.000
2000,POR,Portland Trail Blazers,9.500,32.000,0.188,201.500,406.500,0.510,57.000,192.000,1209.000,2439.000
2000,SAC,Sacramento Kings,1.000,7.333,0.119,243.333,501.500,0.407,6.000,44.000,1460.000,3009.000
2000,SAS,San Antonio Spurs,2.200,9.600,0.192,277.800,568.400,0.467,11.000,48.000,1389.000,2842.000
2000,TOR,Toronto Raptors,2.750,12.500,0.112,170.250,410.000,0.352,11.000,50.000,681.000,1640.000
2000,UTA,Utah Jazz,3.000,9.000,0.341,253.000,507.800,0.476,15.000,45.000,1265.000,2539.000
2000,WAS,Washington Wizards,0.333,2.667,0.056,122.667,257.000,0.463,1.000,8.000,368.000,771.000
2002,ATL,Atlanta Hawks,2.750,8.125,0.228,131.750,279.750,0.397,22.000,65.000,1054.000,2238.000
2002,BKN,Brooklyn Nets,11.167,36.500,0.180,180.167,399.167,0.429,67.000,219.000,1081.000,2395.000
2002,BOS,Boston Celtics,32.167,101.833,0.129,125.167,274.833,0.463,193.000,611.000,751.000,1649.000
2002,CHI,Chicago Bulls,4.857,13.571,0.182,189.429,375.571,0.474,34.000,95.000,1326.000,2629.000
2002,CLE,Cleveland Cavaliers,0.000,1.800,0.000,202.000,441.800,0.423,0.000,9.000,1010.000,2209.000
2002,DAL,Dallas Mavericks,39.000,101.400,0.261,198.600,390.400,0.467,195.000,507.000,993.000,1952.000
2002,DEN,Denver Nuggets,1.000,3.250,0.225,272.750,594.750,0.445,4.000,13.000,1091.000,2379.000
2002,DET,Detroit Pistons,21.500,64.167,0.304,121.000,265.000,0.389,129.000,385.000,726.000,1590.000
2002,GSW,Golden State Warriors,1.667,7.167,0.099,138.500,288.833,0.453,10.000,43.000,831.000,1733.000
2002,HOU,Houston Rockets,13.000,40.000,0.208,197.600,422.000,0.471,65.000,200.000,988.000,2110.000
2002,IND,Indiana Pacers,7.800,21.800,0.207,213.000,448.600,0.435,39.000,109.000,1065.000,2243.000
2002,LAC,Los Angeles Clippers,2.429,7.286,0.210,150.571,318.857,0.467,17.000,51.000,1054.000,2232.000
2002,LAL,Los Angeles Lakers,8.500,30.000,0.096,189.000,371.000,0.453,51.000,180.000,1134.000,2226.000
2002,MEM,Memphis Grizzlies,3.167,16.333,0.081,219.667,455.000,0.411,19.000,98.000,1318.000,2730.000
2002,MIA,Miami Heat,4.500,18.667,0.084,162.333,356.500,0.437,27.000,112.000,974.000,2139.000
2002,MIL,Milwaukee Bucks,12.250,34.625,0.153,83.750,177.750,0.401,98.000,277.000,670.000,1422.000
2002,MIN,Minnesota Timberwolves,4.400,15.400,0.404,266.000,528.200,0.480,22.000,77.000,1330.000,2641.000
2002,NOP,New Orleans Pelicans,0.250,2.250,0.111,204.250,408.750,0.495,1.000,9.000,817.000,1635.000
2002,NYK,New York Knicks,0.400,0.800,0.334,215.400,457.800,0.451,2.000,4.000,1077.000,2289.000
2002,OKC,Oklahoma City Thunder,22.333,63.333,0.236,122.500,276.833,0.451,134.000,380.000,735.000,1661.000
2002,ORL,Orlando Magic,20.250,52.125,0.135,100.250,219.875,0.474,162.000,417.000,802.000,1759.000
2002,PHI,Philadelphia 76ers,18.200,50.200,0.399,183.200,365.400,0.471,91.000,251.000,916.000,1827.000
2002,PHX,Phoenix Suns,0.286,2.143,0.050,125.571,260.571,0.464,2.000,15.000,879.000,1824.000
2002,POR,Portland Trail Blazers,16.571,46.714,0.298,161.571,314.429,0.366,116.000,327.000,1131.000,2201.000
2002,SAC,Sacramento Kings,2.200,10.000,0.159,250.600,529.600,0.470,11.000,50.000,1253.000,2648.000
2002,SAS,San Antonio Spurs,1.800,6.400,0.252,263.600,536.800,0.428,9.000,32.000,1318.000,2684.000
2002,TOR,Toronto Raptors,0.300,1.800,0.146,99.700,217.500,0.442,3.000,18.000,997.000,2175.000
2002,UTA,Utah Jazz,8.000,24.667,0.184,177.500,387.667,0.437,48.000,148.000,1065.000,2326.000
2002,WAS,Washington Wizards,0.286,2.857,0.042,108.571,224.714,0.454,2.000,20.000,760.000,1573.000
2004,ATL,Atlanta Hawks,4.429,12.571,0.195,73.571,162.857,0.497,31.000,88.000,515.000,1140.000
2004,BKN,Brooklyn Nets,5.000,15.600,0.289,127.600,285.000,0.549,25.000,78.000,638.000,1425.000
2004,BOS,Boston Celtics,20.500,57.250,0.121,209.250,391.250,0.523,82.000,229.000,837.000,1565.000
2004,CHA,Charlotte Hornets,0.000,0.200,0.000,220.800,475.400,0.459,0.000,1.000,1104.000,2377.000
2004,CHI,Chicago Bulls,0.000,0.333,0.000,170.500,337.667,0.473,0.000,2.000,1023.000,2026.000
2004,CLE,Cleveland Cavaliers,1.167,8.000,0.077,203.833,429.333,0.423,7.000,48.000,1223.000,2576.000
2004,DAL,Dallas Mavericks,15.167,38.833,0.133,163.333,333.167,0.488,91.000,233.000,980.000,1999.000
2004,DEN,Denver Nuggets,0.200,4.200,0.083,203.800,418.800,0.454,1.000,21.000,1019.000,2094.000
2004,DET,Detroit Pistons,15.200,49.600,0.107,204.200,430.600,0.405,76.000,248.000,1021.000,2153.000
