Player,Age,Team,Pos,3P,3PA,3P%,2P,2PA,2P%,3PA_Share,2PA_Share,3PM_Share,2PM_Share
Karl Malone,33,UTA,PF,0,13,.000,864,1558,.555,,,,
Hakeem Olajuwon,34,HOU,C,5,16,.313,722,1410,.512,,,,
Patrick Ewing,34,NYK,C,2,9,.222,653,1333,.490,,,,
Tom Gugliotta,27,MIN,PF,24,93,.258,568,1246,.456,,,,
Vin Baker,25,MIL,PF,15,54,.278,617,1197,.515,,,,
Shawn Kemp,27,OKC,PF,12,33,.364,514,999,.515,,,,
Shareef Abdur-Rahim,20,MEM,PF,7,27,.259,543,1187,.457,,,,
Joe Smith,21,GSW,PF,12,46,.261,575,1247,.461,,,,
Christian Laettner,27,ATL,PF,31,88,.352,517,1040,.497,,,,
Chris Webber,23,WAS,PF,60,151,.397,544,1016,.535,,,,
Antoine Walker,20,BOS,PF,52,159,.327,524,1195,.438,,,,
Antonio McDyess,22,DEN,PF,6,35,.171,530,1122,.472,,,,
Shaquille O'Neal,24,LAL,C,0,4,.000,552,987,.559,,,,
Alonzo Mourning,26,MIA,C,1,9,.111,472,876,.539,,,,
Rony Seikaly,31,ORL,C,0,3,.000,460,904,.509,,,,
Loy Vaught,28,LAC,PF,2,12,.167,540,1072,.504,,,,
Bryant Reeves,23,MEM,C,1,11,.091,497,1014,.490,,,,
LaPhonso Ellis,26,DEN,PF,95,259,.367,350,755,.464,,,,
Anthony Mason,30,CHA,PF,1,3,.333,432,822,.526,,,,
Elden Campbell,28,LAL,PF,1,4,.250,441,938,.470,,,,
Dikembe Mutombo,30,ATL,C,0,0,,380,721,.527,,,,
Danny Manning,30,PHX,PF,7,36,.194,419,759,.552,,,,
Otis Thorpe,34,DET,C,0,2,.000,419,785,.534,,,,
Derrick Coleman,29,PHI,PF,32,119,.269,332,717,.463,,,,
Olden Polynice,32,SAC,C,0,6,.000,442,961,.460,,,,
Vlade Divac,28,CHA,C,11,47,.234,407,800,.509,,,,
Charles Barkley,33,HOU,PF,58,205,.283,277,487,.569,,,,
Shawn Bradley,24,2TM,C,0,8,.000,406,897,.453,,,,
Tyrone Hill,28,CLE,C,0,1,.000,357,594,.601,,,,
Rasheed Wallace,22,POR,PF,9,33,.273,371,648,.573,,,,
Marcus Camby,22,TOR,C,2,14,.143,373,764,.488,,,,
Arvydas Sabonis,32,POR,C,49,132,.371,279,526,.530,,,,
Chris Gatling,29,2TM,PF,1,6,.167,326,617,.528,,,,
Sam Perkins,35,OKC,C,122,309,.395,168,352,.477,,,,
Rik Smits,30,IND,C,2,8,.250,354,725,.488,,,,
Gary Trent,22,POR,PF,0,11,.000,361,663,.544,,,,
Danny Ferry,30,CLE,PF,114,284,.401,227,510,.445,,,,
Charles Oakley,33,NYK,PF,5,19,.263,334,675,.495,,,,
Antonio Davis,28,IND,PF,1,14,.071,307,627,.490,,,,
Terry Mills,29,DET,PF,175,415,.422,137,287,.477,,,,
Horace Grant,31,ORL,PF,1,6,.167,357,689,.518,,,,
Kevin Willis,34,HOU,PF,2,14,.143,348,714,.487,,,,
Dale Davis,27,IND,PF,0,0,,370,688,.538,,,,
Isaac Austin,27,MIA,C,0,3,.000,321,636,.505,,,,
Gheorghe Mureșan,25,WAS,C,0,0,,327,541,.604,,,,
P.J. Brown,27,MIA,PF,0,2,.000,300,654,.459,,,,
Derek Strong,28,ORL,PF,0,13,.000,262,573,.457,,,,
Armen Gilliam,32,MIL,PF,0,0,,246,522,.471,,,,
Bo Outlaw,25,LAC,PF,0,8,.000,254,409,.621,,,,
Popeye Jones,26,TOR,PF,1,13,.077,257,524,.490,,,,
Antoine Carr,35,UTA,PF,0,3,.000,252,519,.486,,,,
Carl Herrera,30,SAS,PF,2,6,.333,255,587,.434,,,,
A.C. Green,33,2TM,PF,1,20,.050,233,464,.502,,,,
Ervin Johnson,29,DEN,C,0,2,.000,243,465,.523,,,,
Marty Conlon,29,BOS,C,2,10,.200,212,444,.477,,,,
Tony Massenburg,29,BKN,PF,0,1,.000,219,451,.486,,,,
Will Perdue,31,SAS,C,0,0,,233,410,.568,,,,
Lorenzen Wright,21,LAC,C,1,4,.250,235,487,.483,,,,
Greg Ostertag,23,UTA,C,0,4,.000,210,404,.520,,,,
Carlos Rogers,25,TOR,PF,25,66,.379,187,338,.553,,,,
Jayson Williams,28,BKN,PF,0,4,.000,221,536,.412,,,,
Jason Caffey,23,CHI,PF,0,1,.000,205,384,.534,,,,
Roy Rogers,23,MEM,PF,1,1,1.000,243,482,.504,,,,
Dean Garrett,30,MIN,C,0,0,,223,389,.573,,,,
Hot Rod Williams,34,PHX,C,0,2,.000,204,414,.493,,,,
Luc Longley,28,CHI,C,0,2,.000,221,483,.458,,,,
Michael Smith,24,SAC,PF,0,0,,202,375,.539,,,,
Tom Hammonds,29,DEN,PF,0,2,.000,191,396,.482,,,,
Vitaly Potapenko,21,CLE,C,1,2,.500,185,421,.439,,,,
Buck Williams,36,NYK,PF,0,1,.000,175,325,.538,,,,
Theo Ratliff,23,DET,C,0,0,,179,337,.531,,,,
Matt Geiger,27,CHA,C,6,20,.300,165,330,.500,,,,
Sharone Wright,24,TOR,C,0,1,.000,161,402,.400,,,,
Mark Bryant,31,PHX,PF,0,0,,152,275,.553,,,,
Andrew DeClercq,23,GSW,C,0,0,,142,273,.520,,,,
Felton Spencer,29,2TM,C,0,0,,139,284,.489,,,,
Terry Cummings,35,OKC,PF,3,5,.600,152,314,.484,,,,
Erick Dampier,21,IND,C,1,1,1.000,130,335,.388,,,,
Scott Williams,28,PHI,C,0,2,.000,162,316,.513,,,,
Henry James,31,ATL,PF,76,181,.420,49,125,.392,,,,
Dino Radja,29,BOS,C,0,1,.000,149,338,.441,,,,
Xavier McDaniel,33,BKN,PF,5,25,.200,133,330,.403,,,,
Wayman Tisdale,32,PHX,PF,0,0,,158,371,.426,,,,
Travis Knight,22,LAL,C,0,0,,140,275,.509,,,,
Eric Montross,25,2TM,C,0,0,,159,349,.456,,,,
Grant Long,30,DET,PF,17,47,.362,106,228,.465,,,,
Greg Anderson,32,SAS,C,0,1,.000,130,261,.498,,,,
Matt Bullard,29,HOU,PF,67,183,.366,47,101,.465,,,,
Chris Dudley,31,POR,C,0,0,,126,293,.430,,,,
Harvey Grant,31,WAS,PF,28,89,.315,101,225,.449,,,,
Jim McIlvaine,24,OKC,C,1,7,.143,129,269,.480,,,,
Dennis Rodman,35,CHI,PF,5,19,.263,123,267,.461,,,,
Todd Fuller,22,GSW,C,0,0,,114,266,.429,,,,
Oliver Miller,26,2TM,C,0,2,.000,123,236,.521,,,,
Bill Wennington,33,CHI,C,0,2,.000,118,235,.502,,,,
Greg Foster,28,UTA,C,2,3,.667,109,242,.450,,,,
Andrew Lang,30,MIL,C,0,0,,115,248,.464,,,,
Othella Harrington,23,HOU,PF,0,3,.000,112,201,.557,,,,
Loren Meyer,24,2TM,PF,4,7,.571,104,237,.439,,,,
Sean Rooks,27,LAL,C,0,1,.000,87,184,.473,,,,
Brian Grant,24,SAC,PF,0,0,,91,207,.440,,,,
Cherokee Parks,24,MIN,PF,0,1,.000,103,201,.512,,,,
Corie Blount,28,LAL,PF,1,3,.333,91,176,.517,,,,
Adam Keefe,26,UTA,C,0,1,.000,82,159,.516,,,,
Mark West,36,CLE,C,0,0,,100,180,.556,,,,
Samaki Walker,20,DAL,PF,0,1,.000,83,186,.446,,,,
Reggie Slater,26,TOR,PF,0,2,.000,82,147,.558,,,,
Aaron Williams,25,2TM,C,0,1,.000,85,147,.578,,,,
Alan Henderson,24,ATL,PF,0,0,,77,162,.475,,,,
Clifford Rozier,24,2TM,C,0,2,.000,79,172,.459,,,,
Acie Earl,26,2TM,C,0,5,.000,67,175,.383,,,,
Jermaine O'Neal,18,POR,PF,0,1,.000,69,152,.454,,,,
Pete Chilcutt,28,MEM,PF,25,69,.362,47,96,.490,,,,
Stojko Vranković,33,MIN,C,0,0,,78,139,.561,,,,
Ray Owes,24,GSW,PF,1,5,.200,74,175,.423,,,,
Antonio Lang,24,CLE,PF,0,6,.000,68,156,.436,,,,
Stanley Roberts,26,LAC,C,0,0,,63,148,.426,,,,
Joe Kleine,35,3TM,C,2,3,.667,67,167,.401,,,,
Robert Parish,43,CHI,C,0,0,,70,143,.490,,,,
Malik Rose,22,CHA,PF,0,2,.000,61,126,.484,,,,
Martin Müürsepp,22,2TM,PF,4,24,.167,50,107,.467,,,,
Brett Szabo,28,BOS,C,0,1,.000,54,120,.450,,,,
Michael Cage,35,PHI,C,0,0,,66,141,.468,,,,
